A1,A2,DELTA
0.009980773,0.021267391,9.05E-05
0.014204382,0.021018943,5.23E-05
0.005863642,0.015819291,0.000246924
0.01227004,0.006502507,0.00020974
0.006112089,0.010868086,0.000258775
0.023680881,0.011187518,6.69E-05
0.01141822,0.008632058,0.000148258
0.023574404,0.006058851,0.000191916
0.007372074,0.017505185,0.00016096
0.006875178,0.006626731,0.000312402
0.00909346,0.009004729,0.000173921
0.006786447,0.015553097,0.000191944
0.009288669,0.009075714,0.000168863
0.015482112,0.020522048,4.72E-05
0.008614311,0.017806871,0.00012289
0.019794452,0.015890276,4.58E-05
0.019066855,0.010406683,8.29E-05
0.013618755,0.015393381,6.88E-05
0.006378283,0.014807754,0.00021657
0.006094343,0.025047343,0.00021077
0.009146699,0.009395147,0.000166062
0.020096138,0.020805988,3.41E-05
0.024390732,0.018215035,3.29E-05
0.007123626,0.023254971,0.000160343
0.016369425,0.008507834,0.000121216
0.013583263,0.011719906,8.98E-05
0.018747423,0.024284254,3.27E-05
0.015446619,0.015180426,6.07E-05
0.024639179,0.00824164,0.000109889
0.009111207,0.01255398,0.00013295
0.017877856,0.024177777,3.49E-05
0.019208825,0.016511395,4.51E-05
0.010335698,0.011666667,0.000119691
0.020238108,0.010814847,7.59E-05
0.009128953,0.019066855,0.000109001
0.00767376,0.007638267,0.000243031
0.022065972,0.016174216,4.12E-05
0.021622316,0.007336581,0.000139867
0.012429756,0.017079275,7.15E-05
0.024692418,0.010300206,7.52E-05
0.012394264,0.017451946,7.08E-05
0.010388937,0.011915115,0.000116919
0.015659574,0.019847691,4.76E-05
0.007141372,0.007318835,0.000273005
0.018392498,0.017824617,4.34E-05
0.015943515,0.018587706,4.90E-05
0.021231898,0.01842799,3.65E-05
0.015375634,0.020699511,4.74E-05
0.007939954,0.014559307,0.000151319
0.005828149,0.022243435,0.000234083
0.007034895,0.006431522,0.000314841
0.018019826,0.015109441,5.26E-05
0.02160457,0.01942178,3.39E-05
0.016759842,0.010761608,8.50E-05
0.009696833,0.024479463,9.12E-05
0.01184413,0.012287786,9.81E-05
0.019741213,0.010850339,7.65E-05
0.01729223,0.010424429,8.72E-05
0.011808637,0.008081924,0.00015732
0.024461717,0.02160457,2.69E-05
0.005899134,0.006165328,0.000392951
0.013778471,0.016120977,6.54E-05
0.012908905,0.006325045,0.000213946
0.02330821,0.021551331,2.83E-05
0.009395147,0.021285137,0.000100245
0.021675555,0.015588589,4.37E-05
0.014239874,0.024124538,4.86E-05
0.023716374,0.013920441,4.80E-05
0.012305532,0.012465249,9.29E-05
0.023964822,0.018055319,3.37E-05
0.016777588,0.014310859,5.96E-05
0.008969236,0.018765169,0.000112866
0.023059763,0.019616989,3.16E-05
0.008081924,0.015233664,0.000144444
0.014896485,0.011737652,8.28E-05
0.01241201,0.01326383,8.70E-05
0.011950607,0.012784681,9.37E-05
0.008933744,0.019049109,0.000113053
0.012287786,0.019031363,6.83E-05
0.020575287,0.016369425,4.29E-05
0.022207942,0.009838803,8.45E-05
0.020699511,0.01956375,3.51E-05
0.012713696,0.010584146,0.0001067
0.020060646,0.02259836,3.18E-05
0.020770496,0.010087251,8.35E-05
0.007194611,0.02359215,0.00015701
0.015411127,0.010477668,9.31E-05
0.011152026,0.006591238,0.000216025
0.006502507,0.013530024,0.000215456
0.023556658,0.00710588,0.000144407
0.010459922,0.019492765,8.65E-05
0.02231442,0.008578819,0.000105854
0.008632058,0.021959495,0.000115075
0.010016265,0.008614311,0.000165808
0.009998519,0.019954168,9.23E-05
0.018924885,0.006786447,0.000166449
0.007762491,0.005970119,0.000314231
0.014026919,0.01729223,6.06E-05
0.018374751,0.00866755,0.000111845
0.014186635,0.005721672,0.000243318
0.022119211,0.016032246,4.15E-05
0.011932861,0.012571726,9.53E-05
0.007212357,0.025065089,0.000154412
0.024816642,0.021728793,2.64E-05
0.00753179,0.015624082,0.000160669
0.015127187,0.021444853,4.73E-05
0.024763403,0.020770496,2.78E-05
0.005952373,0.024071299,0.000221882
0.009643594,0.008401356,0.000176367
0.008738535,0.01786011,0.000119878
0.006981656,0.016404917,0.000180056
0.011719906,0.021427107,6.94E-05
0.010158236,0.018676438,9.23E-05
0.012163562,0.024621433,6.19E-05
0.024976358,0.021533585,2.65E-05
0.021480346,0.005810403,0.000211976
0.009554863,0.019528258,0.000100215
0.021160913,0.011098787,7.14E-05
0.013210591,0.00753179,0.000162147
0.018516721,0.008986983,0.000105263
0.012660457,0.007691506,0.000161093
0.01899587,0.016688857,4.50E-05
0.020610779,0.012802427,5.88E-05
0.010246967,0.010797101,0.00012926
0.00838361,0.009554863,0.000180495
0.013938188,0.017771379,5.99E-05
0.017061529,0.022545121,3.89E-05
0.009625848,0.014470575,0.000113115
0.006715462,0.018250528,0.000187702
0.014754515,0.00909346,0.000116166
0.010477668,0.021072182,8.38E-05
0.007478551,0.007744745,0.000246557
0.015215918,0.024603687,4.35E-05
0.020965705,0.015286903,4.59E-05
0.015730559,0.011045548,8.57E-05
0.007585029,0.022829061,0.000143603
0.014080158,0.007407566,0.000160963
0.017380961,0.01856996,4.43E-05
0.011329488,0.016209708,8.40E-05
0.020504302,0.007034895,0.0001528
0.010406683,0.024089045,8.11E-05
0.011897368,0.010388937,0.000115561
0.008490088,0.02089472,0.000120024
0.021001197,0.023929329,2.87E-05
0.024124538,0.009732325,8.34E-05
0.024621433,0.015020709,4.22E-05
0.010513161,0.0148255,9.84E-05
0.005916881,0.009714579,0.000286271
0.02302427,0.008561073,0.000105138
0.016475902,0.007265596,0.000155287
0.006750955,0.014790008,0.000196591
0.010229221,0.015340142,0.000100287
0.015535351,0.009306415,0.000109065
0.023503419,0.010903578,6.99E-05
0.01871193,0.010672877,8.06E-05
0.00738982,0.007656014,0.000252418
0.013388054,0.014577053,7.35E-05
0.016617872,0.022935539,3.99E-05
0.018694184,0.007372074,0.000145024
0.017735886,0.015215918,5.30E-05
0.010530907,0.013441293,0.00010483
0.007567282,0.018552214,0.000151418
0.011400473,0.021391615,7.26E-05
0.01970572,0.015056202,4.91E-05
0.02217245,0.017026036,3.85E-05
0.013246084,0.024763403,5.38E-05
0.007602775,0.00625406,0.000302599
0.021302883,0.019350795,3.45E-05
0.009164445,0.022403151,0.000103099
0.020202616,0.014985217,4.84E-05
0.022562867,0.023964822,2.64E-05
0.024674672,0.021835271,2.64E-05
0.020486556,0.015002963,4.78E-05
0.010371191,0.012394264,0.000113532
0.025118328,0.014044665,4.59E-05
0.014133397,0.023042016,5.02E-05
0.012944397,0.019971914,6.16E-05
0.019900929,0.017664901,4.05E-05
0.023254971,0.008738535,0.000101198
0.010300206,0.010069504,0.000137244
0.022900046,0.023787359,2.62E-05
0.006892925,0.016795335,0.000182931
0.012589472,0.014222128,8.06E-05
0.007052641,0.01629844,0.000177266
0.023343703,0.022385405,2.72E-05
0.015020709,0.006555746,0.000190199
0.010690623,0.015695067,9.29E-05
0.022243435,0.008312625,0.000111794
0.022811315,0.024834388,2.53E-05
0.019315303,0.006768701,0.000166223
0.013299323,0.010743862,0.000100928
0.009874295,0.006750955,0.000225367
0.016245201,0.017789125,4.97E-05
0.011489205,0.015925768,8.33E-05
0.018587706,0.020823735,3.72E-05
0.024035807,0.018534468,3.26E-05
0.015073948,0.015251411,6.20E-05
0.024745657,0.006608985,0.000162048
0.009004729,0.016990544,0.000116262
0.016546887,0.019812198,4.45E-05
0.009040221,0.017363215,0.000114559
0.006360537,0.016493648,0.000211639
0.013334815,0.012039339,8.87E-05
0.008259386,0.019546004,0.000128231
0.018055319,0.006360537,0.000188785
0.022136957,0.020610779,3.11E-05
0.019492765,0.014523814,5.17E-05
0.008188401,0.02345018,0.000124376
0.012571726,0.011506951,9.84E-05
0.019510512,0.020380078,3.59E-05
0.009501624,0.021711047,9.77E-05
0.020309093,0.013636501,5.44E-05
0.019528258,0.018392498,3.96E-05
0.016688857,0.01814405,4.74E-05
0.00696391,0.019758959,0.000172805
0.008720789,0.023751867,0.000110817
0.017168006,0.011577936,7.58E-05
0.023858344,0.012092577,5.91E-05
0.007460805,0.006023358,0.000321105
0.008135163,0.007868969,0.000222343
0.011826383,0.02117866,6.88E-05
0.014931978,0.0214626,4.82E-05
0.006236313,0.009625848,0.000265816
0.006928417,0.01269595,0.000198847
0.016742096,0.009341908,0.000104093
0.019155587,0.022687091,3.35E-05
0.018552214,0.007123626,0.000154084
0.024284254,0.013050875,5.21E-05
0.014417337,0.021249645,5.09E-05
0.014275367,0.021196406,5.17E-05
0.023893837,0.013370308,5.07E-05
0.012341025,0.013565516,8.58E-05
0.017558424,0.013813964,5.97E-05
0.020273601,0.014736769,4.93E-05
0.017700394,0.00809967,0.000126599
0.017984334,0.020788242,3.87E-05
0.020859227,0.01283792,5.81E-05
0.022101465,0.017487439,3.74E-05
0.007780237,0.023095255,0.000136819
0.006005612,0.020220362,0.00022522
0.008543326,0.01771814,0.000124806
0.020167123,0.014488322,5.06E-05
0.007443059,0.025118328,0.000145696
0.016511395,0.014719023,5.86E-05
0.02401806,0.023325956,2.54E-05
0.022438644,0.020468809,3.10E-05
0.00824164,0.011808637,0.000158604
0.013565516,0.020309093,5.70E-05
0.01644041,0.014346352,6.05E-05
0.01715026,0.006289552,0.000195349
0.006147582,0.012181309,0.000245193
0.017327722,0.007585029,0.000142023
0.009466132,0.016546887,0.000108583
0.010211474,0.012926651,0.000112158
0.012092577,0.013068621,9.07E-05
0.011187518,0.019687974,7.75E-05
0.017203499,0.011382727,7.74E-05
0.022793569,0.019652482,3.19E-05
0.013671994,0.011773145,8.88E-05
0.018836154,0.011027802,7.66E-05
0.021870764,0.016529141,4.03E-05
0.010814847,0.025153821,7.49E-05
0.0134058,0.009927534,0.000110305
0.014648038,0.022278927,4.85E-05
0.020149377,0.013991427,5.29E-05
0.01757617,0.024745657,3.52E-05
0.01814405,0.015499858,5.09E-05
0.016316186,0.01184413,7.63E-05
0.008064177,0.011240757,0.000168477
0.022491882,0.018658691,3.42E-05
0.018623199,0.022101465,3.54E-05
0.020681764,0.024266508,2.89E-05
0.013086368,0.019989661,6.06E-05
0.022633852,0.006928417,0.000152694
0.01297989,0.020433317,6.06E-05
0.024940866,0.008046431,0.000114152
0.02132063,0.018374751,3.65E-05
0.007851222,0.021586823,0.000136669
0.008419103,0.018640945,0.000125834
0.006733208,0.019581497,0.000183966
0.006591238,0.007993192,0.00027799
0.007176865,0.019439527,0.000164339
0.010921324,0.008348118,0.000159893
0.016458156,0.020859227,4.31E-05
0.00710588,0.012855666,0.000190025
0.011098787,0.021941749,7.51E-05
0.009359654,0.006999402,0.000223667
0.017451946,0.009892042,9.36E-05
0.012181309,0.024940866,6.15E-05
0.011205265,0.006271806,0.000231716
0.022225689,0.021870764,2.92E-05
0.01828602,0.012323279,6.69E-05
0.007159119,0.024248762,0.000157568
0.017931095,0.014364098,5.60E-05
0.023538911,0.009501624,8.75E-05
0.013725233,0.01468353,7.11E-05
0.007496297,0.020184869,0.000150754
0.006413776,0.022758076,0.00019524
0.015517604,0.008596565,0.000122528
0.013760725,0.014843247,7.02E-05
0.024426224,0.005703926,0.000211864
0.009785564,0.020841481,9.42E-05
0.017842364,0.0093774,0.000100236
0.021657808,0.011613428,6.59E-05
0.013512278,0.006413776,0.000205302
0.014328605,0.008135163,0.000138633
0.017647155,0.010335698,8.72E-05
0.020805988,0.023414688,2.96E-05
0.018445736,0.018889393,4.09E-05
0.024798896,0.02274033,2.52E-05
0.020752749,0.006520253,0.000174036
0.01212807,0.017593916,7.27E-05
0.010939071,0.023840598,7.47E-05
0.019865437,0.010921324,7.55E-05
0.007354327,0.013512278,0.00017627
0.021409361,0.019918676,3.33E-05
0.009341908,0.00951937,0.000160378
0.013494531,0.019634735,5.86E-05
0.021427107,0.016316186,4.17E-05
0.014506068,0.014630292,6.71E-05
0.017487439,0.014754515,5.55E-05
0.017682647,0.009146699,0.000104579
0.020717257,0.010459922,7.90E-05
0.017913349,0.017842364,4.45E-05
0.007744745,0.014009173,0.000159949
0.016049992,0.024674672,4.01E-05
0.007283342,0.024781149,0.000152014
0.020522048,0.017948841,3.87E-05
0.025153821,0.016759842,3.58E-05
0.007514044,0.005916881,0.000326002
0.016653365,0.009182192,0.000107092
0.008348118,0.022509629,0.000121321
0.01312186,0.01113428,9.80E-05
0.011347235,0.007088133,0.000192888
0.021994987,0.02132063,3.03E-05
0.009199938,0.013281576,0.000126707
0.014630292,0.015198172,6.42E-05
0.017132514,0.011063295,8.07E-05
0.023183986,0.023698628,2.59E-05
0.013459039,0.009359654,0.000118563
0.008915998,0.020983451,0.000110127
0.013476785,0.012057085,8.77E-05
0.017824617,0.019013617,4.22E-05
0.020539794,0.009111207,9.87E-05
0.010548653,0.008277133,0.000166078
0.011240757,0.012216801,0.000104501
0.016280693,0.020930212,4.36E-05
0.013423546,0.008064177,0.000145576
0.006041104,0.022953285,0.000217766
0.021586823,0.023148494,2.86E-05
0.014435083,0.007514044,0.000155635
0.012642711,0.005792657,0.000248317
0.010140489,0.018942632,9.20E-05
0.007620521,0.006342791,0.000297178
0.015766052,0.01715026,5.31E-05
0.013192845,0.009199938,0.000122958
0.014346352,0.019315303,5.44E-05
0.011293996,0.006467015,0.000220552
0.023751867,0.013884949,4.82E-05
0.020078392,0.006041104,0.000201025
0.024266508,0.019368542,3.07E-05
0.021924002,0.00852558,0.000107607
0.008561073,0.024302,0.000113907
0.022332166,0.013601009,5.14E-05
0.009572609,0.020912466,9.76E-05
0.013441293,0.013086368,8.09E-05
0.008277133,0.0079577,0.000216077
0.017256737,0.00667997,0.000175867
0.008898251,0.021693301,0.000109484
0.022261181,0.024372985,2.64E-05
0.016422663,0.016067738,5.39E-05
0.007088133,0.016227455,0.000175963
0.018410244,0.006715462,0.000170878
0.008330371,0.017380961,0.00013102
0.006626731,0.012447502,0.00021525
0.017097021,0.024000314,3.72E-05
0.012802427,0.016884066,6.93E-05
0.024834388,0.006147582,0.000184289
0.010619638,0.009874295,0.000135746
0.014151143,0.020397824,5.35E-05
0.024372985,0.020291347,2.90E-05
0.006608985,0.009483878,0.00024646
0.018321513,0.024195523,3.38E-05
0.015748306,0.022012734,4.40E-05
0.016830827,0.018463483,4.62E-05
0.006449268,0.01297989,0.000221537
0.005686179,0.010832593,0.000290834
0.007318835,0.017984334,0.000161823
0.014009173,0.009856549,0.000107778
0.008010939,0.022775823,0.00013022
0.018161796,0.00738982,0.000145837
0.023805105,0.020362332,2.95E-05
0.02203048,0.022864554,2.83E-05
0.021125421,0.017238991,3.95E-05
0.013636501,0.023822852,5.22E-05
0.018197289,0.020486556,3.87E-05
0.02458594,0.019120094,3.08E-05
0.007797984,0.010690623,0.000182117
0.010424429,0.012376517,0.000112952
0.01942178,0.01212807,6.57E-05
0.020113884,0.017416454,4.08E-05
0.010743862,0.024231015,7.66E-05
0.006325045,0.018321513,0.000208831
0.023467926,0.016955051,3.70E-05
0.022420897,0.006946163,0.000152399
0.013884949,0.01354777,7.56E-05
0.023609896,0.016830827,3.72E-05
0.019546004,0.01312186,5.88E-05
0.007407566,0.021231898,0.000152238
0.015979007,0.014435083,6.17E-05
0.010442176,0.006112089,0.000249911
0.023148494,0.020113884,3.06E-05
0.015553097,0.021853017,4.50E-05
0.019120094,0.018800661,3.96E-05
0.023237225,0.008933744,9.75E-05
0.018871647,0.020255854,3.74E-05
0.01439959,0.018357005,5.61E-05
0.010956817,0.008436849,0.000157452
0.018534468,0.023503419,3.40E-05
0.0188539,0.011755398,6.99E-05
0.019776705,0.016617872,4.36E-05
0.006484761,0.017966588,0.000200508
0.019244318,0.00966134,9.24E-05
0.015251411,0.014860993,6.28E-05
0.015872529,0.00994528,9.81E-05
0.012021592,0.005845896,0.000249742
0.018250528,0.011347235,7.49E-05
0.020415571,0.007833476,0.000127152
0.019102348,0.009164445,0.000100699
0.011435966,0.016049992,8.34E-05
0.010992309,0.009270923,0.000140682
0.015180426,0.008915998,0.000117524
0.014985217,0.021764286,4.75E-05
0.01354777,0.014931978,7.11E-05
0.005987866,0.020504302,0.000225883
0.017274484,0.012074831,7.14E-05
0.017469692,0.013015383,6.44E-05
0.010797101,0.009448385,0.000140001
0.015996753,0.016458156,5.42E-05
0.024568194,0.023361449,2.47E-05
0.010672877,0.021906256,8.01E-05
0.017416454,0.007478551,0.00014509
0.01468353,0.009128953,0.000115869
0.019386288,0.020415571,3.61E-05
0.010282459,0.010726116,0.000129543
0.022988778,0.022988778,2.69E-05
0.014843247,0.019333049,5.20E-05
0.012252294,0.023272718,6.25E-05
0.010566399,0.015535351,9.50E-05
0.005934627,0.00696391,0.000351811
0.007726999,0.020326839,0.000142622
0.008507834,0.021054436,0.000119344
0.012536234,0.008685296,0.000137353
0.022829061,0.019084602,3.29E-05
0.014772262,0.009963027,0.000102442
0.008986983,0.017061529,0.000116443
0.021267391,0.020007407,3.34E-05
0.023982568,0.013707486,4.88E-05
0.010601892,0.013742979,0.0001023
0.014222128,0.016138723,6.29E-05
0.017593916,0.015322396,5.30E-05
0.014949724,0.020965705,4.88E-05
0.005881388,0.015127187,0.000248152
0.018765169,0.008028685,0.000125601
0.014364098,0.013334815,7.43E-05
0.007709252,0.024035807,0.000137919
0.015588589,0.008862759,0.000116843
0.020947958,0.01644041,4.20E-05
0.009732325,0.020752749,9.52E-05
0.01956375,0.022261181,3.31E-05
0.022704837,0.007904461,0.000121116
0.020841481,0.022349912,3.07E-05
0.023521165,0.008419103,0.000107453
0.021498092,0.018179543,3.66E-05
0.022846808,0.021107675,2.95E-05
0.022367659,0.021657808,2.93E-05
0.016600126,0.008880505,0.000112786
0.0174342,0.020273601,4.10E-05
0.011364981,0.024337493,6.96E-05
0.021285137,0.007052641,0.000150526
0.005757164,0.02231442,0.000239343
0.024852134,0.0174342,3.43E-05
0.010779354,0.010708369,0.000123379
0.009483878,0.010495414,0.000144556
0.006165328,0.010956817,0.000254381
0.019333049,0.014949724,5.02E-05
0.010885832,0.011524697,0.000114042
0.020983451,0.020042899,3.38E-05
0.006200821,0.018037573,0.000217147
0.012518487,0.018232781,6.80E-05
0.019652482,0.024816642,3.03E-05
0.023396941,0.005881388,0.000202878
0.016493648,0.017132514,5.05E-05
0.017309976,0.006644477,0.000177299
0.014807754,0.011081041,8.92E-05
0.014577053,0.006697716,0.00018577
0.0148255,0.01658238,5.86E-05
0.018126304,0.023663135,3.48E-05
0.016795335,0.011435966,7.82E-05
0.018215035,0.024319747,3.39E-05
0.01658238,0.013955934,6.19E-05
0.00923543,0.021569077,0.000102829
0.024479463,0.015073948,4.21E-05
0.015695067,0.018019826,5.12E-05
0.008774028,0.017931095,0.000118911
0.021959495,0.011648921,6.51E-05
0.023769613,0.019510512,3.10E-05
0.013175099,0.019599243,6.07E-05
0.024781149,0.015730559,3.94E-05
0.014701277,0.008774028,0.000122473
0.020255854,0.023645389,3.03E-05
0.021072182,0.010655131,7.61E-05
0.015801544,0.018445736,4.98E-05
0.018073065,0.021214152,3.79E-05
0.01368974,0.016937305,6.34E-05
0.019918676,0.012518487,6.19E-05
0.015286903,0.021001197,4.73E-05
0.022651599,0.01757617,3.64E-05
0.018942632,0.021994987,3.48E-05
0.012447502,0.014151143,8.20E-05
0.015606336,0.008294879,0.000128921
0.01425762,0.020167123,5.33E-05
0.015340142,0.016972797,5.52E-05
0.025136074,0.011595682,6.16E-05
0.008685296,0.023006524,0.000112498
0.021214152,0.019457273,3.45E-05
0.006467015,0.010885832,0.000236823
0.005668433,0.01383171,0.000270715
0.020788242,0.023183986,2.98E-05
0.024213269,0.011950607,5.97E-05
0.016937305,0.016475902,5.10E-05
0.019936422,0.011010056,7.44E-05
0.022935539,0.020575287,3.02E-05
0.00852558,0.012145816,0.000148712
0.020646272,0.013476785,5.47E-05
0.017753632,0.01368974,5.98E-05
0.006839686,0.022207942,0.000174302
0.01454156,0.022793569,4.84E-05
0.013530024,0.008649804,0.000131322
0.018676438,0.020664018,3.72E-05
0.010122743,0.013760725,0.000108647
0.025065089,0.013849456,4.69E-05
0.020131631,0.009750072,8.93E-05
0.023113001,0.020539794,3.00E-05
0.00639603,0.025082836,0.000192659
0.011595682,0.009537117,0.000130069
0.017611662,0.009324162,0.00010175
0.006644477,0.019226572,0.000189149
